english_source|lambani_target|lambani_predicted|kannada_sentence
the daughter-in-law desired to get that wealth .|ಬೊಡಿ ವೊ ಪೀಸಾ ಲಾಣು ಕೇನ ಚಾವರಿತಿ|ಬೊಡಿ ವೊ ಪೀಸಾ ಲಾಣು ಕೇನ ಚಾವರಿತಿ|ಸೊಸೆಯು ಆ ಸಂಪತ್ತನ್ನು ಪಡೆಯಲು ಬಯಸಿದಳು .
they may come or not now but they will come certainly .|ವೊ ಅಬ್ ನ ಆಯೆ ತೋಬಿ ಜರೂರ ಆವಚ|ವೊ ಅಬ್ ನ ಆಯೆ ತೋಬಿ ಲಾರ್ತಿ ಜರೂರ ಆವಚ|ಅವರು ಈಗ ಬರಬಹುದು ಅಥವಾ ಬರದೇ ಇರಬಹುದು ಆದರೆ ಅವರು ಖಂಡಿತವಾಗಿಯೂ ಬರುತ್ತಾರೆ .
immediately after returning from the work they wash their face .|ವೊ ಕಾಮೇತಿ ಆತೆ ಸಾತ್ ಮುಂಡೋ ಧೋವಚ|ವೊ ಕಾಮೇತಿ ಆತೆ ಸಾತ್ ವೂನೂರ್ ಮುಂಡೋ ಧೋಲ|ಕೆಲಸ ಮುಗಿಸಿ ಬಂದ ತಕ್ಷಣ ಮುಖ ತೊಳೆದುಕೊಳ್ಳುತ್ತಾರೆ .
if he rode elephant then he wont die .|ಹಾಥಿರ ಸವಾರಿ ಕಿದೋ ಕತೋ ವು ಮರೆನಿ|ವು ಹಾತೀರ ಸವಾರಿ ಕಿದೋ ಕತೋ ಮರೆನಿ|ಆನೆ ಸವಾರಿ ಮಾಡಿದರೆ ಸಾಯುವುದಿಲ್ಲ
but they were worried for not having a child .|ಛಿಜ್ಯಪರ ವೇರೆ ಕೊಂತಿ ಕೇನ ಚಿಂತ್ಯಾ ಕರ್ರೆತೆ|ಪಣ ವೊ ಏಕ ಬೇಟಾ ಛೆನಿ ಜೋಣ ಚಿಂತ್ಯಾ ಕರ್ರೆತೆ|ಆದರೆ ಅವರು ಮಗುವಾಗದೆ ಕಂಗಾಲಾಗಿದ್ದರು .
the prime ministers son requested the prince to marry her .|ಮಂತ್ರಿರ ಬೇಟಾ ರಾಜಕುಮಾರೇನ ವೊತಿ ವಾಯಾ ಕರ ಕೇನ ವಿನಂತಿ ಕಿದೋ|ಮಂತ್ರಿರ ಬೇಟಾ ವೊತಿ ವಾಯಾ ಕರನು ಕೇನ ಕೆ|ಪ್ರಧಾನ ಮಂತ್ರಿಗಳ ಮಗ ಅವಳನ್ನು ಮದುವೆಯಾಗಲು ರಾಜಕುಮಾರನನ್ನು ವಿನಂತಿಸಿದನು .
it is a prayer for reaching the shore safely .|ದಂಡಿ ಕ್ಷೇಮೇತಿ ಪೂಚೆರ ವಾಸ ಪ್ರಾರ್ಥನಾ ಚ|ತಳಾವ ಸುರಕ್ಷೆರ ವಾಸ ಏಕ ಪ್ರಾರ್ಥನಾ ಚ|ಇದು ಸುರಕ್ಷಿತವಾಗಿ ದಡವನ್ನು ತಲುಪಲು ಪ್ರಾರ್ಥನೆ .
he chased the nawabs army upto delhi .|ವು ದಿಲ್ಲಿ ಲಗಾ ನವಾಬೇರ ಸೇನಾರ ಲಾರ ಗೆ|ವು ನವಾಬೇರ ಸೇನಾತಿ ನವಾಬೇರ ಸೇನಾ ಲೇನ ನವಾಬೇರ ಸೇನಾತಿ ಲಡೋ|ದೆಹಲಿಗೆ ಅವರು ನವಾಬ್ಸ್ ಸೈನ್ಯವನ್ನು ಓಡಿಸಿದರು .
there is a perfect harmony between the song and the action .|ಗೀದ ಅನ ಕಾಮೇರ್ ತಾಲ್ಮೇಲ ರಚ|ಗೀದೆಮ ಸುಂದರ ಸಂಬಂಧ ಚ|ಹಾಡು ಮತ್ತು ಕ್ರಿಯೆ ನಡುವೆ ಪರಿಪೂರ್ಣ ಸಾಮರಸ್ಯವಿದೆ .
music is an integral part of the folk arts .|ಸಂಗೀತ ಜಾನಪದ ಸಾಕಿರ ಅಭಿನ್ನ ಅಂಗ ಚ|ಸಂಗೀತ ಜಾನಪದ ಕಲಾಕೃತಿ ಏಕ ಭಾಗ ಚ|ಸಂಗೀತವು ಜಾನಪದ ಕಲೆಗಳ ಅವಿಭಾಜ್ಯ ಅಂಗವಾಗಿದೆ .
i jumped from the tree and fell on the ground|ಮ ಝಾಡೇತಿ ಹೇಟ ಜಮ್ಮಿ ಪರ ಪಡಗೋ|ಮ ಝಾಡೇಪರತಿ ವಚಕಳನ ಜಮಿ ಪರ ಪಡಗೋ|ನಾನು ಮರದಿಂದ ಹಾರಿ ನೆಲದ ಮೇಲೆ ಬಿದ್ದೆ
then veer haridasala replied with a question .|ಜನಾ ವೀರ ಹರಿದಾಸಲ ಏಕ ಪ್ರಶ್ನೆತಿ ಉತ್ತರ ದಿನೋ|ಜನಾ ವೀರ ಹರಿದಾಸಲ ತಿ ಉತ್ತರ ದಿನೆ.|ನಂತರ ವೀರ್ ಹರಿದಾಸಲಾ ಪ್ರಶ್ನೆಯೊಂದಿಗೆ ಉತ್ತರಿಸಿದರು .
achievements of wife and husband were marvellous .|ಧಣಿ ಗೋಣ್ಣಿರ ಸಾಧನೆ ಅದ್ಭುತ ವೇತ್ತಿ|ಧಣಿ ಅನ ಗೋಣ್ಣಿ ಘಣ ಛಂದ ವೇತ್ತಿ|ಹೆಂಡತಿ ಮತ್ತು ಗಂಡನ ಸಾಧನೆಗಳು ಅದ್ಭುತವಾಗಿವೆ .
he challenged them your sister hassent you the balls .|ತಮಾರ್ ಭೇನ ತಮೆನ್ ಬಾಲ್ ದೇಮಲಿಚ ಕೇನ ಸವಾಲ್ ಘಾಲೊ|ವು ವೂನುನ ತಾರ್ ಭೇನ ಬಾಲ ದೇನಾಕೋಚ.|ನಿಮ್ಮ ಸಹೋದರಿ ನಿಮ್ಮನ್ನು ಕೆಣಕಿದ್ದಾರೆ ಎಂದು ಸವಾಲು ಹಾಕಿದರು
finally she came to mehta and garlanded him .|ಅಂತೆಮ ವು ಮೆಹತಾ ರ ಕನ್ನ ಆಯಿ ಅನ ಮಾಲಾ ಘಾಲಿ|ಅಂತೆಮ ವು ಮೆಹತಾರ ಕನ ಆಯಿ.|ಕೊನೆಗೆ ಮೆಹ್ತಾ ಬಳಿ ಬಂದು ಮಾಲೆ ಹಾಕಿದಳು .
songs concerning marriage are very important stages in mans life|ವಾಯಾರ ಗೀದೆ ಮಾಣಸೇರ ಜೀವನೇಮ ಘಣ ಮಹತ್ವಪೂರ್ಣ ಚರಣ್ ಚ|ವಾಯಾ ರ ಗೀದೆ ಮಾಣಸೇರ ಜೀವನೇಮ ಘಣ ಮಹತ್ವಪೂರ್ಣ ಚರಣ್ ಚ|ಮದುವೆಗೆ ಸಂಬಂಧಿಸಿದ ಹಾಡುಗಳು ಮನುಷ್ಯನ ಜೀವನದಲ್ಲಿ ಬಹಳ ಮುಖ್ಯವಾದ ಹಂತಗಳಾಗಿವೆ
i have a feeling you will be a very good lawyer .|ತು ಘಣೊ ಆಚೊ ವಕೀಲ್ ವೆಚಿ ಕೆನ್ ಮನ್ ಅನಸಾವಚ.|ತು ಘಣ್ ಆಚೊ ವಕೀಲ ಚಿ ಕೆನ್ ಮನ್ ಅನಸಾವಚ.|ನೀವು ತುಂಬಾ ಒಳ್ಳೆಯ ವಕೀಲರಾಗುವಿರಿ ಎಂಬ ಭಾವನೆ ನನ್ನಲ್ಲಿದೆ .
the fox carried the heart and offered it to god .|ಲೋಮಡಿ ದಲ್ ಪಾಡಲೆಗಿ ಅನ ದೇವೇನ ಚಡಾಯಿ|ಲೋಮಡಿ ವೊನ ದಲ್ ಲೆಗೋ ಅನ ವೊನ ದೇವೇನ ಚಡಾಯಿ|ನರಿ ಹೃದಯವನ್ನು ಹೊತ್ತುಕೊಂಡು ದೇವರಿಗೆ ಅರ್ಪಿಸಿತು .
she sings a to song expresses her inner tumult|ವು ಗೀದ ಗೀದಗಾವಚ ಅನ ವೋರ ದುಃಖ್ ವ್ಯಕ್ತಪಡಸಚ|ವು ಏಕ ಗೀದ ವೋರ ಆಂತರಿಕ ಪೀಡಾ ವ್ಯಕ್ತ ಕರಚ|ಅವಳು ಒಂದು ಹಾಡನ್ನು ಹಾಡುತ್ತಾಳೆ ತನ್ನ ಆಂತರಿಕ ತುಮುಲವನ್ನು ವ್ಯಕ್ತಪಡಿಸುತ್ತಾಳೆ
i gave the naughty child a good thrashing|ಮ ಹಟಾ ಕಿದೋ ಜೆ ಛೋರಾ ನ ಮಸ್ತ್ ಮಾರೋಚು|ಮ ಘಣ್ ಶರಾರತಿ ಪಾಪಾ ದಿನೋ|ನಾನು ಹಠಮಾರಿ ಮಗುವಿಗೆ ಚೆನ್ನಾಗಿ ಹೊಡೆದೆ
he entered by means of the bed of neem leaves .|ಉ ಲಿಂಬೆರ್ ಪಾಲೇರ್ ಹಾಸ್ಕಿ ತಿ ಮಾಯಿ ಆಯೋ.|ಲಿಂಬೆರ್ ಪಾಲೇರ್ ಹಾಸ್ಗಿ ಮ ಆಯೋ|ಅವನು ಬೇವಿನ ಸೊಪ್ಪಿನ ಹಾಸಿಗೆಯ ಮೂಲಕ ಪ್ರವೇಶಿಸಿದನು .
the sacred cow has a prominent place among their cattle|ವೂನೂರ್ ಜಾನ್ವರೇನುಮ ಪವಿತ್ರ ಗಾವಡಿನ ಪ್ರಮುಖ ಸ್ಥಾನ ಚ|ಪವಿತ್ರ ಗಾವಡಿರ ನಡು ಏಕ ಮಹತ್ವಪೂರ್ಣ ಸ್ಥಾನ ಚ|ಅವರ ಜಾನುವಾರುಗಳಲ್ಲಿ ಪವಿತ್ರ ಗೋವಿಗೆ ಪ್ರಮುಖ ಸ್ಥಾನವಿದೆ
the wife felt that the words were addressed to her .|ತಾಂಡರಿನ ವು ವೊನಜ್ ಕೆರೋಚ ಕೇನ ಅನಸಾಯಿ|ತಾಂಡರಿ ವೋರ ಶಬ್ದ ನ ವಾತೇ ಕರ್ರೀತಿ ಕೇನ ಅನಸಾಯಿ|ಆ ಮಾತುಗಳು ತನ್ನನ್ನು ಉದ್ದೇಶಿಸಿವೆ ಎಂದು ಹೆಂಡತಿ ಭಾವಿಸಿದಳು .
the boy lived happily with his wife and mother .|ಛೋರಾ ವೋರ ತಾಂಡರಿರ ಅನ ಯಾಡಿನ ಲೇನ ಖುಷಿತಿ ರೇ ಲಗೋ|ಛೋರಾ ವೋರ ತಾಂಡರಿ ಅನ ಯಾಡಿರ ಜೋಡಿ ಖುಷಿತಿ ರೇ|ಆ ಹುಡುಗನು ತನ್ನ ಹೆಂಡತಿ ಮತ್ತು ತಾಯಿಯೊಂದಿಗೆ ಸಂತೋಷದಿಂದ ವಾಸಿಸುತ್ತಿದ್ದರು .
the devil in the bottle wasburned .|ಬಾಟಲಿಮ ವೆತ್ತೋ ಜೆ ಭೂತೇನ ಬಾಳನಾಕೆ|ಬಾಟಲಿಮ ವೆತ್ತೋ ಜೆ ಭೂತೇನ ಬಾಳನಾಕೆ|ಬಾಟಲಿಯಲ್ಲಿದ್ದ ದೆವ್ವ ಸುಟ್ಟುಹೋಯಿತು .
theysaid that they admire laxmi .|ವೊ ಹಮ್ ಲಕ್ಷ್ಮೀರ ಪ್ರಶಂಸಾ ಕರಾಚಾ ಕೇನ ಕಿ|ವೊ ಲಕ್ಷ್ಮೀ ಪ್ರಶಂಸಾ ಕರಚ ಕೇನ ಕೆ|ಅವರು ಲಕ್ಷ್ಮಿಯನ್ನು ಮೆಚ್ಚುತ್ತಾರೆ ಎಂದು ಹೇಳಿದರು
they worship wonders and marvels of nature .|ವೊ ಪ್ರಕೃತಿರ ಚಮತ್ಕಾರೇರ ಪೂಜಾ ಕರಚ|ವೊ ಪ್ರಕೃತಿ ಅನ ಆಶ್ಚರ್ಯ ವೇಚ|ಅವರು ಪ್ರಕೃತಿಯ ಅದ್ಭುತಗಳು ಮತ್ತು ಅದ್ಭುತಗಳನ್ನು ಪೂಜಿಸುತ್ತಾರೆ .
besides these festivals they also observe other festivals|ಏ ಹಬ್ಬಾನೂರ ಜೋಡಿ ವೊ ದೂಸರ್ ಹಬ್ಬಾ ಬಿ ಕರಚ|ಏ ಹಬ್ಬಾನ ಛೋಡನ ವೊ ಅಜಿ ದೂಸರ್ ಹಬ್ಬಾನುನ ಭೀ ಕರಚ|ಈ ಹಬ್ಬಗಳಲ್ಲದೆ ಇತರ ಹಬ್ಬಗಳನ್ನೂ ಆಚರಿಸುತ್ತಾರೆ
the age-old marriage tradition is becoming rare .|ಪೆಹಲೆರ ನಾಯಿ ವಾಯಾ ನೊ ಅಬ ಅಪರೂಪ ಚ|ಪ್ರಾಚೀನ ವಾಯಾ ವೇರಿಚ.|ಸನಾತನ ಮದುವೆ ಸಂಪ್ರದಾಯ ಅಪರೂಪವಾಗುತ್ತಿದೆ .
such songs are commonly found among all tribes .|ಅಸಿ ಗೀದೆ ಸೇಜ ಜನಜಾತಿನುಮ ರಚ|ಅಸ ಸೇಜ ಬುಡಕಟ್ಟು ಜನಾಂಗ ಮಾಯಿ ಕನ್ನಾಯಿಬಿ ದೇಕೇನ ಮಳಚ|ಇಂತಹ ಹಾಡುಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಎಲ್ಲಾ ಬುಡಕಟ್ಟುಗಳಲ್ಲಿ ಕಂಡುಬರುತ್ತವೆ .
the stories may be collected through information with hard labour .|ಸಾಕಿನುನ ಘಣ ಮೆಹನತೆತಿ ಮಾಹಿತಿ ಲೇನ ಗೋಳಾ ಕರ ಸಕಾಚಾ|ಸಾಕಿ ಕಠಿಣ್ ಪರಿಶ್ರಮ್ನ್ ಗೋಳಾಕರಚ|ಕಠಿಣ ಪರಿಶ್ರಮದಿಂದ ಮಾಹಿತಿಯ ಮೂಲಕ ಕಥೆಗಳನ್ನು ಸಂಗ್ರಹಿಸಬಹುದು .
the two children left in the forest were grown up .|ಜಂಗಲೆಮ ಛೋಡೆ ಜಕೋಣ ದೊಯೀ ಛಿಜ್ಯಾಪರ ಮೋಟೆ ವೇಗೆ|ಜಂಗಲೆಮ ಛೋಡೆ ಜಕೋಣ ದೊಯೀ ಛಿಜ್ಯಾಪರ ಮೋಟೆ ವೇಗೆ|ಕಾಡಿನಲ್ಲಿ ಬಿಟ್ಟ ಇಬ್ಬರು ಮಕ್ಕಳು ಬೆಳೆದರು .
alone was ahalya in the cottage .|ಕಟಿರ ಮಾಯಿ ಎಕ್ಲಿ ಅಹಲ್ಯ ವೇತ್ತಿ.|ಬರೆ ಅಹಲ್ಯ ಮ ಎಕ್ಲೊ ವೆತ್ತೋ|ಕುಟೀರದಲ್ಲಿ ಒಬ್ಬಳೇ ಅಹಲ್ಯಾ ಇದ್ದಳು .
immediately after returning from the work they wash their feet|ವೊ ಕಾಮೇತಿ ಆತೆ ಸಾತ್ ಟಾಂಗ್ ಧೋವಚ|ವೊ ಕಾಮೇತಿ ಆತೆ ಸಾತ್ ವೂನೂರ ಟಾಂಗೇನ ಧೊವಚ|ಕೆಲಸದಿಂದ ಹಿಂದಿರುಗಿದ ತಕ್ಷಣ , ಅವರು ತಮ್ಮ ಪಾದಗಳನ್ನು ತೊಳೆಯುತ್ತಾರೆ
they proposed to take her as daughter-in-law .|ವೊ ವೊನ ಬೋಡಿ ಕರಾ ಕೇನ ಪೂಚೆ|ವೊ ವೊನ ಬೋಡಿ ಕರಾ ಕೇನ ಪೂಚೆ|ಅವರು ಅವಳನ್ನು ಸೊಸೆಯಾಗಿ ತೆಗೆದುಕೊಳ್ಳಲು ಪ್ರಸ್ತಾಪಿಸಿದರು .
he will go and marry samaladevi .|ವು ಜಾನ ಸಮಲಾದೇವಿತಿ ವಾಯಾ ಕರಚ|ವು ಸಮು ರ ವಾಯಾ ಕರಚ|ಅವರು ಸಮಾಗುದೇವಿಯನ್ನು ಮದುವೆಯಾಗುತ್ತಾರೆ .
he is rich. he does not need money !|ವು ಸಾಹುಕಾರ್ ಚ ವೊನ್ ಪೀಸಾ ಚಾಯೆನಿ.|ವು ಸಾವಕಾರ ಛೆನಿ ಕ?|ಅವನು ಶ್ರೀಮಂತ . ಅವನಿಗೆ ಹಣದ ಅಗತ್ಯವಿಲ್ಲ !
peace and plenty o ! mother o ! mother .|ಘಣ ಶಾಂತಿ ಏ ಯಾಡಿ! ಏ ಯಾಡಿ!|ಏ! ಯಾಡಿ ಶಾಂತಿ ಅನ ಯಾಡಿ ಏ! ಯಾಡಿ|ಶಾಂತಿ ಮತ್ತು ಸಾಕಷ್ಟು ಒ !ತಾಯಿ ಒ !ತಾಯಿ .
cucumber is a very good vegetable .|ಕಾಕಡಿ ಘಣ ಆಚ ತರಕಾರಿ ಚ|ಕಾಕಡಿ ಘಣ ಆಚ ತರಕಾರಿ ಚ|ಸೌತೆಕಾಯಿ ತುಂಬಾ ಒಳ್ಳೆಯ ತರಕಾರಿ .
ogre was indulged in illegal activities .|ರಾಕ್ಷಸ ಮಾಂದೊ ಕಾಮ ಕರ್ರೊತೊ|ರಾಕ್ಷಸೇರ ಕಾಮ ಕರೆರ ವೆನಿ|ಓಗ್ರೆ ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳಲ್ಲಿ ತೊಡಗಿಸಿಕೊಂಡಿದೆ .
he firmly believed that he was his brother .|ವು ವೊರಜ್ ಭಾಯಿ ಚ ಕೇನ ವೊನ ಪೂರಾ ವಿಶ್ವಾಸ ವೆತ್ತೋ|ವು ವೋರ ಭಾಯಿ ಭೆನ್ ಚ ಕೇನ ನಂಬಕಿ|ಅವನು ತನ್ನ ಸಹೋದರ ಎಂದು ದೃಢವಾಗಿ ನಂಬಿದ್ದನು .
they forget themselves in the mirth and revelry .|ವೊ ಉಲ್ಲಾಸ ಅನ ಆನಂದೆಮ ವೂನುರ್ಮೂನ್ ವೊ ಭೂಲ್ ಜಾವಚ|ವೊ ಕಾಚೆ ಅನ ಭಾರ ಭೂಲೋ|ಅವರು ಉಲ್ಲಾಸ ಮತ್ತು ಮೋಜು ಮಸ್ತಿಯಲ್ಲಿ ತಮ್ಮನ್ನು ಮರೆತುಬಿಡುತ್ತಾರೆ .
she said i am frying mother baking daughter .|ವು ಮ ಬೇಟಿನ ಸಿಜಾಡರಿಜೋಣ ಮಾಯೇನ ಫ್ರೈ ಕರ್ರಿಚು ಕಿ|ವು ಮ ಬೇಟಿ ನ ಬಾಟಿ ಕರರೊಚು.|ನಾನು ತಾಯಿ ಬೇಕಿಂಗ್ ಮಗಳನ್ನು ಹುರಿಯುತ್ತಿದ್ದೇನೆ ಎಂದಳು .
her relatives forced her to participate and enjoy the festival .|ವೋರ ಸಂಬಂಧಿ ನೋ ವೊನ ಉತ್ಸವೇಮ ಭಾಗ ಲೇನ ಅನ ಆನಂದ ಲೇನ ಮಜಬೂರ್ ಕಿದೆ|ವೋರ ದೊಸ್ತಣೆ ವೊನ ಉತ್ಸವೇಮ ಭಾಗ ಲೇನ ಅನ ಆನಂದ ಲೇನ ಮಜಬೂರ್ ಕಿದಿ|ಹಬ್ಬದಲ್ಲಿ ಭಾಗವಹಿಸಿ ಆನಂದಿಸುವಂತೆ ಆಕೆಯ ಸಂಬಂಧಿಕರು ಒತ್ತಾಯಿಸಿದರು .
these songs have the background of the birth of lord krishna|ಏ ಗೀದೇನುಮ ಭಗವಾನ ಕೃಷ್ಣಾರ ಜನ್ಮೇರ ಹಿನ್ನೆಲೆ ಚ|ಏ ಗೀದೆ ಭಗವಾನ್ ಕೃಷ್ಣ ಕೃಷ್ಣಾ ರ ಜನ್ಮ ಲಿದೊ|ಈ ಹಾಡುಗಳು ಶ್ರೀಕೃಷ್ಣನ ಜನನದ ಹಿನ್ನೆಲೆಯನ್ನು ಹೊಂದಿವೆ
it also expresses her heartfelt sorrow .|ಯೆರ ಜೋಡಿ ವೋರ ಹಾರ್ದಿಕ ವ್ಯಥೆ ಭೀ ವ್ಯಕ್ತ ಕರಚ|ಈ ಬಿ ವೋರ ದುಃಖ ವ್ಯಕ್ತ ಕರಚ|ಜಾನಪದ ಸಾಹಿತ್ಯದಲ್ಲಿ ಈ ಎಲಿಜಿ ವಿಶಿಷ್ಟವಾಗಿದೆ ಏಕೆಂದರೆ ಇದು ತನ್ನ ಮಕ್ಕಳನ್ನು ಮತ್ತು ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಭಯಪಡುವ ವಿಧವೆಯ ಅಸಹಾಯಕತೆ ಮತ್ತು ನೋವಿನ ಸಂಕಟವನ್ನು ವ್ಯಕ್ತಪಡಿಸುತ್ತದೆ .
it is not much of a surprise is it ?|ಈ ಘಣ್ ಆಶ್ಚರ್ಯಕರ ಛೆನಿ ಹಾವ ಕೋನಿ?|ವು ಘಣ್ ಆಶ್ಚರ್ಯ ಕಾವ.|ಇದು ಹೆಚ್ಚು ಆಶ್ಚರ್ಯಕರವಲ್ಲ , ಅಲ್ಲವೇ ?
may your third son become a cattle herdsman|ತಾರ ತೀಸರಾ ಬೇಟಾ ಜಾನ್ವರ ಚರಾವಾಳೋ ವೇದ|ತಾರ ಚಾರನೆ ಬೇಟಾ ವ್ಯಾಪಾರಿ ವೇದ|ನಿನ್ನ ಮೂರನೆಯ ಮಗ ದನಗಾಹಿಯಾಗಲಿ
now they admire and practise hindu culture .|ಅಬ ವೊ ಹಿಂದೂ ಸಂಸ್ಕೃತಿ ರ ಪ್ರಶಂಶೆ ಅನ ಅಭ್ಯಾಸ ಕರಚ|ಅಬ ವೊ ಹಿಂದೂ ಸಂಸ್ಕೃತಿ ರ ಪ್ರಶಂಶೆ ಕರಚ|ಈಗ ಅವರು ಹಿಂದೂ ಸಂಸ್ಕೃತಿಯನ್ನು ಮೆಚ್ಚುತ್ತಾರೆ ಮತ್ತು ಆಚರಿಸುತ್ತಾರೆ .
i am having toothache since last night|ಕಾಲ ರಾತೇತಿ ಮಾರ ದಾತ ದುಕರೋಚ|ಮನ ಕಾಲೇನ ರಾತ್ ಜಾಗೊ|ನಿನ್ನೆ ರಾತ್ರಿಯಿಂದ ನನಗೆ ಹಲ್ಲುನೋವು ಇದೆ
let not you venture to snatch away my beautiful|ತಮ್ ಮಾರ ಸುಂದರಿ ನ ಖೋಸೆರ ಕೊಶಿಸ್ ಕರೋಮತ|ತು ಮಾರ ಛಂದ ಚೋರಿ ಕರೇನ ಮತ|ನನ್ನ ಸುಂದರಿಯನ್ನು ಕಿತ್ತುಕೊಳ್ಳುವ ಸಾಹಸ ಮಾಡದಿರಿ
by holding it he was going to lavatory .|ವೊನ ಪಕಡನ ವು ಶೌಚಾಲಯನ ಜಾತೊತೋ|ವೊನ ಪಕಡನ ಶೌಚಾಲಯನ ಜಾಮಲೋತೊ|ಅದನ್ನು ಹಿಡಿದುಕೊಂಡು ಅವರು ಶೌಚಾಲಯಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದರು .
ram is afraid of cockroaches .|ರಾಮೆನ್ ಕೋಶಾರಿ ಓ ಕತೋ ಘನ್ ಚಮಕೆಣಿ ಛ.|ರಾಮೆನ್ ವಾಘ್ ಓ ಕತೋ ಘನ್ ಚಮಕಿಣಿ ಛ.|ರಾಮನಿಗೆ ಜಿರಳೆಗಳೆಂದರೆ ಭಯ .
the king got his two queens and princes .|ರಾಜ ನ ವೋರ ದೊಯೀ ರಾಣಿ ನೋ ಅನ ರಾಜಕುಮಾರ ಮಳಗೆ|ರಾಜಾ ವೋರ ದೀ ರಾಣಿನೋ ಅನ ರಾಜಕುಮಾರೇನುನ ಮಳಚ|ರಾಜನು ತನ್ನ ಇಬ್ಬರು ರಾಣಿಯರನ್ನು ಮತ್ತು ರಾಜಕುಮಾರರನ್ನು ಪಡೆದನು .
where can i weigh my groceries ?|ಮ ಮಾರ್ ಕಿರಾಣಿರ ಸಾಮಾನ್ ಕತ್ ತೋಲು?|ಮ ಮಾರ್ ಘೋಡಾ ಕತ್ ಪೆರೋಚು|ನನ್ನ ದಿನಸಿಗಳನ್ನು ನಾನು ಎಲ್ಲಿ ತೂಗಬಹುದು ?
they bid farewell to the couple happily .|ವೊ ಖುಷಿತಿ ಈ ಜೋಡಿರ ಬಿದಾಯಿ ಕಿದೆ|ವೊ ಖುಷಿತಿ ರೇ|ಅವರು ದಂಪತಿಗಳನ್ನು ಸಂತೋಷದಿಂದ ಬೀಳ್ಕೊಟ್ಟರು .
now that you are tired you would better rest .|ತೋನ್ ಸುಸ್ತ್ ವೇಗಿಚ ತು ಆರಾಮ್ ಕರ ಜೋಣ ಠೀಕ್ ರಚ.|ಅಬ್ ತು ಸುಸ್ತ್ ವೇಗೋಚಿ|ಈಗ ನೀವು ಸುಸ್ತಾಗಿದ್ದೀರಿ , ನೀವು ಉತ್ತಮ ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತೀರಿ .
squeeze the lemon in the dal|ದಾಳೆಮ ಲಿಂಬುನ ನಚೋ|ಅಂಬಾನ ಫಿಚನ ರಸಾ ಕಾಡ|ಬೇಳೆಗೆ ನಿಂಬೆಹಣ್ಣನ್ನು ಹಿಂಡಿ
he was giving a bread daily to a ghost hidden in a neem tree nearby the temple .|ವು ಗುಡಿರ ಕನ ಏಕ ನಿಮೇರ ಝಾಡೆಪರ ಜಪಮಲೋ ಜೆ ಭೂತೇನ ದಾಡ್ಡಿ ಬಾಟಿ ದೇತೊತೊ|ವು ದೇವೆರ ಗುಡಿ ರ ಝಾಡೇಪರ ಏಕ ಮೋಟೋತೊ|ದೇವಸ್ಥಾನದ ಬಳಿಯ ಬೇವಿನ ಮರದಲ್ಲಿ ಅಡಗಿದ್ದ ಭೂತಕ್ಕೆ ಪ್ರತಿದಿನ ರೊಟ್ಟಿಯನ್ನು ಕೊಡುತ್ತಿದ್ದ .
the message of skylark is like that of the message in kalidasas megha sandesh|ಸ್ಕೈ ಲಾರ್ಕೆರ ಸಂದೇಶ ಕಾಳಿದಾಸೆರ ಮೇಘಾ ಸಂದೇಶೇರ ನಾಯಿ ಚ|ಕಾಳಿದಾಸೆರ ಮೇಘಾ ಸಂದೇಶೇರ ನಾಯಿ ಚ|ಬಾನಾಡಿ ಸಂದೇಶವು ಕಾಳಿದಾಸರ ಮೇಘ ಸಂದೇಶದಲ್ಲಿರುವ ಸಂದೇಶದಂತಿದೆ
this volang song also presents their images aboutgods goddesses and many cultural themes .|ಏ ವೊಲಾಂಗ್ ಗೀದೆ ದೇವಿ-ದೇವತಾವೋ ಅನ ಕತ್ರಾಕೋ ಸಾಂಸ್ಕೃತಿಕ ವಿಷಯರ ಬಗ್ಗೆ ವೂನೂರ ಆಸಕ್ತಿ ದಕಾಳಚ|ಈ ಗೀದ ವೂನೂರ ಆಂತರಿಕ ಅನ ಕತ್ರಾಕೋ ಸಾಂಸ್ಕೃತಿಕ ಸಂಬಂಧಿತ ಚ|ಈ ವೊಲಾಂಗ್ ಹಾಡು ದೇವತೆಗಳ ದೇವತೆಗಳು ಮತ್ತು ಅನೇಕ ಸಾಂಸ್ಕೃತಿಕ ವಿಷಯಗಳ ಬಗ್ಗೆ ಅವರ ಚಿತ್ರಗಳನ್ನು ಸಹ ಪ್ರಸ್ತುತಪಡಿಸುತ್ತದೆ .
