lambani_source|kannada_target|kannada_predicted
ಸೀದಾ ಅನ ಘುನ್ಗರ ಲಟ್ಟಾ ತೇಯಿಸ್ ಮಾಣಸೇರ ನಾಕ ಮಧ್ಯಮ ಖಿನ್ನತೆ ವೇತ್ತಿ .|ನೇರವಾದ ಮತ್ತು ಗುಂಗುರು ಕೂದಲು ಇಪ್ಪತ್ತಮೂರು ವ್ಯಕ್ತಿಗಳು ಮಧ್ಯಮ ಮೂಗಿನ ಕುರಿತಾದ ಖಿನ್ನತೆಯನ್ನು ಹೊಂದಿದ್ದರು .|ನೇರ ಮತ್ತು ತುಪ್ಪದ ಕೂದಲು ಎಣ್ಣೆ ಉನ್ನತ ವ್ಯಕ್ತಿಗೆ ಮಧ್ಯತೆ ಇತ್ತು .
ವರ್ಸೆಮ್ ಏಕ್ ವಣಾ ವೊರ್ ಪೂಜಾ ಕಿದೇತೋ ವು ಜಮೀರ್ ಫಲವತ್ತತೆ ಜಾಸ್ತ್ ಕರಚ ಕೇನ ವೊ ನಂಬಚ .|ವರ್ಷಕ್ಕೊಮ್ಮೆ ಆಕೆಯನ್ನು ಪೂಜಿಸಿದರೆ ಭೂಮಿಯ ಫಲವತ್ತತೆ ಹೆಚ್ಚುತ್ತದೆ ಎಂದು ನಂಬುತ್ತಾರೆ .|ವರ್ಷಕ್ಕೊಮ್ಮೆ ಆಜೆ ಮಾಡಿದರೆ, ಅವರು ಭೂಮಿಯ ಫಲವತ್ತನ್ನು ಹೆಚ್ಚಿಸುತ್ತಾರೆ ಎಂದು ಅವರು ನಂಬುತ್ತಾರೆ .
ಗಾರಾಶಿಯ ಓ ಪಾರುಗಾಣಿಕೆ ಬೆಟ್ಟರ್ ಬುಡಕಟ್ಟು ಜನಾಂಗ್ ವಲಛ್ .|ಗರಾಶಿಯಾ ಅವರ ಪಾರುಗಾಣಿಕೆ ಬೆಟ್ಟದ ಬುಡಕಟ್ಟು ಜನಾಂಗದವರು .|ಕೆರಾಫ್ಯ್ ಪಾನಿಕೆ ಬೆಟ್ಟಿನವರು ಬುಡಕಟ್ಟು ಜನಾಂಗದವರು .
ದೇವೀರ ಆರಾಧನೆರ ವಾಸ ಕರಮಲೆ ಜೋಣ ಚಿಹ್ನೆ ನೋ ವೋರ ವೀರತಾ ದರ್ಶಾವಚ .|ದೇವಿಯ ಆರಾಧನೆಗಾಗಿ ಮಾಡಿದ ಚಿಹ್ನೆಗಳು ಅವನ ವೀರತ್ವವನ್ನು ತೋರಿಸುತ್ತವೆ .|ದೇವಿಯರ ಆರಾಧನೆಯ ಉದ್ದೇಶಕ್ಕಾಗಿ ತಯಾರಿಸಿದ ಚಿಹ್ನೆಗಳು ಅವರ ನಾಯಕತ್ವವನ್ನು ಕನ್ನಡಗೊಳಿಸುತ್ತವೆ .
ಮ ಮಿಂಡಿರ ಪಿಲ್ಲಾರ ಕಾಟಮಲೆ ಜೋಣ ನಡ್ದಿನ ಬಾತ್ರೂಮೆಮ ಫೇಕಮಲೋಚು .|ಕುರಿಮರಿಯ ಕತ್ತರಿಸಿದ ಕತ್ತನ್ನು ಸ್ನಾನದ ಕೋಣೆಯಲ್ಲಿ ಎಸೆದಿದ್ದೇನೆ .|ಕುರಿಮರಿಯ ಮೇರಿಯನ್ನು ನಾನು ಕಡಿದಿರುವ ಬಾತ್ರೂಮ್ ಅನ್ನು ಎಸೆಯುತ್ತಿದ್ದೆ .
ಏಕ್ ಬಾಯಿ ವೊರ್ ಆಭರಣ ಸೇಜ ಬೇಟಿನುನ ನಿತರ ವೂನುಮ ಕೇನಿಭಿ ಏಕ್ ಬೇಟಿನ ದೇ ಸಕಚ .|ಒಬ್ಬ ಮಹಿಳೆ ಎಲ್ಲಾ ಹೆಣ್ಣುಮಕ್ಕಳಿಗೆ ಅಥವಾ ಅವರಲ್ಲಿ ಯಾರಿಗಾದರೂ ಆಭರಣಗಳನ್ನು ನೀಡಬಹುದು .|ಮಹಿಳೆ ತನ್ನ ಆಭರಣಗಳನ್ನು ಅಥವಾ ಮಕ್ಕಳಿಬ್ಬರಿಗೂ ಒಂದು ಹೆಣ್ಣು ಮಕ್ಕಳನ್ನು ಸಹ ನೀಡಬಹುದು .
ಸೇಜ್ ಮಲೇರಿಯಾ ಕೆಸೆನುಮ ಬುಡಕಟ್ಟು ಸಮುದಾಯೆವಾಳೆರ್ ಪಚ್ಚಿಸ್ ಪರಸೆಂಟ್ ರಚ .|ಬುಡಕಟ್ಟು ಸಮುದಾಯವು ಒಟ್ಟು ಮಲೇರಿಯಾ ಪ್ರಕರಣಗಳಲ್ಲಿ ಇಪ್ಪತ್ತೈದು ಪ್ರತಿಶತದಷ್ಟು ಕೊಡುಗೆ ನೀಡುತ್ತದೆ .|ಎಲ್ಲಾ ಮಲೇರಿಯಾ ಪ್ರಕರಣಗಳಲ್ಲಿ ಸಮುದಾಯಗಳ ಬೆಲೆ ಇಪ್ಪತ್ತೈದು ಪ್ರತಿಶತ ಪ್ರಕರಣಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ .
ಅಗರ್ ಭಾಯಿರ ಬೇಟಾ ನ ರೇ ಕತೋ ವೂನೂರ ಕುಲರ ಏಕಾದ ಛೋರಾನ್ ಗೋದ ಲಚ .|ಸಹೋದರರ ಮಗ ಲಭ್ಯವಿಲ್ಲದಿದ್ದರೆ ಅವರು ತಮ್ಮ ಸ್ವಂತ ಕುಲದ ಯಾವುದೇ ಹುಡುಗನನ್ನು ಇಷ್ಟಪಡುತ್ತಾರೆ .|ಅಣ್ಣ ಮಗುವಿನ ಮಗ ಇದ್ದರೆ ಅವರ ಕುಲಗಳ ಕೇಲವನ್ನು ಮರೆಮಾಡಲಾಗುತ್ತದೆ .
ಥಾಮ್ಸನೇರ ಪ್ರಕಾರ ಏ ವರ್ಗೆರ ಸಾಕಿನೊ ಸಾಂಪ್ರದಾಯಿಕ್ ಜನಪ್ರಿಯ ಸಾಹಿತ್ಯ ಮ ಜನಪ್ರಿಯ ಛೆನಿ .|ಥಾಮ್ಸನ್ ಪ್ರಕಾರ ಈ ವರ್ಗದ ಕಥೆಗಳು ಸಾಂಪ್ರದಾಯಿಕ ಜಾನಪದ ಸಾಹಿತ್ಯದಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿಲ್ಲ .|ಥಾಮ್ಸನ್ ಪ್ರಕಾರ ಈ ವರ್ಗದ ಕಥೆಗಳ ಸಾಹಿತ್ಯದಲ್ಲಿ ಜನಪ್ರಿಯವಾಗಿಲ್ಲ .
ಬ್ರಾಡ್ ಹೋಡ್ಜ್ ಚಾರ್ ಪರ್ ಪಚಾಸ್ ರನ್ ಕರನ್ ಬನ್ ಔಟ್ ವೇರ್ ರೇಗೊ .|ಬ್ರಾಡ್ ಹಾಡ್ಜ್ ಐವತ್ತನಾಲ್ಕು ರನ್ ಗಳಿಸಿ ಔಟಾಗದೆ ಉಳಿದರು .|ಬ್ರಾಡ್ ಹೋಳಿ ನಾಲ್ವರ ಮೇಲೆ ಬಡ್ಡಿಸ್ ಔಷಧಿಗಳು ಇದ್ದರು .
ಬೂತೆರ್ ಹೆಟ್ ಏಕ್ ಚೌಕ ಭಾಗ ಸ್ವಚ್ಛ್ ಕರನ ಗೋಬರೇತಿ ಲಿಪೆ .|ಬೂತ್ ಅಡಿಯಲ್ಲಿ, ಒಂದು ಚದರ ಭಾಗವನ್ನು ತೆರವುಗೊಳಿಸಲಾಯಿತು ಮತ್ತು ಗೋವಿನ ಸಾಗಣೆಯಿಂದ ಸಾರಿಸಲಾಯಿತು .|ಬೂಟೆಯ ಕೆಳಗೆ ಒಂದು ಚೌಕಿಕ ಭಾಗವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ ಸಗಣಿಯಿಂದ ಸ್ವಚ್ಛಗೊಳಿಸಲಾಯಿತು .
ಭಾರ್ ಲಗಾಡೆರ್ ವಾಸ್ ಛ ಜೋಣ ಯೇ ಶೀಳ ಬಾಮ್ ಏಕ್ ಏಕ್ ವಣಾ ಪಾನೇರ್ ಜೋಡಿ ಖಾವಚ .|ಬಾಹ್ಯ ಬಳಕೆಗೆ ಉದ್ದೇಶಿಸಲಾದ ಈ ಶೀತ ಮುಲಾಮುಗಳನ್ನು ಕೆಲವೊಮ್ಮೆ ಬೀಟಲ್ ಎಲೆಗಳೊಂದಿಗೆ ನುಂಗಲಾಗುತ್ತದೆ .|ಬಾಹ್ಯ ಬಳಕೆಗಾಗಿ ಉದ್ದೇಶಿಸಲಾದ ಈ ಶೀತ ಮುಲಾಮುಗಳನ್ನು ಕೆಲವೊಮ್ಮೆ ಬೀಟಲ್ ಬೀಟಲ್ ಬೀಟಲ್ ಬೀಜಗಳೊಂದಿಗೆ ನುಂಗಲಾಗುತ್ತದೆ .
ಏಕ್ ತಾಸ್ ನಿಕಾಣಿ ಅರ್ಧಾ ತಾಸ್ ಬಾಟಿಖಾಯೆನ್ ಅರಾಮ್ ಕರನ ಸಾಂಜ್ ಪಾಂಚೇಲಗಾ ಚಾಲಚ .|ಒಂದು ಗಂಟೆ ಅಥವಾ ಅರ್ಧ ಗಂಟೆಯ ಊಟದ ವಿರಾಮದೊಂದಿಗೆ ಸಂಜೆ ಐದು ಗಂಟೆಯವರೆಗೆ ಮುಂದುವರಿಯುತ್ತದೆ .|ಒಂದು ಗಂಟೆ ಅಥವಾ ಅರ್ಧ ಗಂಟೆ ಬಾಟಿಕೆಯವರೆಗೆ ವಿಶ್ರಾಂತಿ ತೆಗೆದುಕೊಂಡು ಸಂಜೆ ನಡೆಯುತ್ತದೆ .
ಏ ದೊಯೀ ವನವಾಸಿ ಜಾತಿನುಮ ವೂನೂರ ಅಸ್ತಿತ್ವೇರ ವಾಸ ಲಡಾಯಿ ಚಾಲರಿತಿ .|ಈ ಎರಡು ಅರಣ್ಯವಾಸಿ ಬುಡಕಟ್ಟುಗಳ ನಡುವೆ ತಮ್ಮ ಉಳಿವಿಗಾಗಿ ಹೋರಾಟ ನಡೆಯುತ್ತಿತ್ತು .|ಈ ಎರಡೂ ನವಾಬಿ ಜಾತಿಗಳಲ್ಲಿ ಅವರ ಅಸ್ತಿಗಳಿಂದ ಹೋರಾಡುತ್ತಿತ್ತು .
ಈ ತೀನಿ ಹೆಣ್ಣ್ ದೇವೀನುನ ಬ್ರಾಹ್ಮಣೇರ್ ತೀನ್ ಬೇಟಿವೋ ಚ ಕೇನ ಸಮ್ಜಚ .|ಈ ಮೂವರು ಸ್ತ್ರೀ ದೇವತೆಗಳು ಬ್ರಾಹ್ಮಣನ ಮೂವರು ಪುತ್ರಿಯರೆಂದು ಭಾವಿಸಲಾಗಿದೆ .|ಇದು ಮೂವರು ಮತ್ತು ಹೆಣ್ಣು ಗಂಡು ದೇವಿಯ ಬ್ರಾಹ್ಮಣನ ಮೂರು ಹೆಣ್ಣು ಮಕ್ಕಳಿದ್ದಾರೆ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ .
ವುನುಮ್ ಜಾಸ್ತ್ ಮಾಣಸ್ ವ್ಯಾಪಾರಿ ವೇಮಲೆಚ ಅನ ಏಕ್ ಜಾಗಾತಿ ದೂಸರ್ ಜಾಗಾನ ಹಿಂಡಚ .|ಅವರಲ್ಲಿ ಹೆಚ್ಚಿನ ಜನರು ವ್ಯಾಪಾರಿಗಳಾಗಿದ್ದಾರೆ ಒಂದು ಸ್ಥಳದಿಂದ ಇನ್ನೊಂದು ಸ್ಥಳಕ್ಕೆ ಪಯಣಿಸುತ್ತಾರೆ .|ಅವರು ಹೆಚ್ಚಿನವರು ವ್ಯಾಪಾರ ಮತ್ತು ಒಂದು ಸ್ಥಳದಿಂದ ಮತ್ತೊಂದಿಗಿದ್ದಾರೆ .
ಅತೋ ಬಿ ಆದರ್ಶ ಅನ ವಾಸ್ತವಿಕತಾಮ್ ಕನ್ನಾಯಿಬಿ ಘಣ ಅಂತರ್ ರಚ .|ಆದಾಗ್ಯೂ, ಆದರ್ಶ ಮತ್ತು ನೈಜತೆಯ ನಡುವೆ ಯಾವಾಗಲೂ ದೊಡ್ಡ ಅಂತರವಿರುತ್ತದೆ .|ಆದರೂ ಆದರ್ಶ ಮತ್ತು ವಾಸ್ತವದಂತರದಲ್ಲಿಯೂ ಬಹಳ ವ್ಯತ್ಯಾಸವಿದೆ .
ಸೋಸಿಯಲ್ ನೆಟ್ ವರ್ಕಿಂಗ್ ವೆಬ್ ಸೈಟ್ ನೋ ಘಣ್ ಜನಪ್ರಿಯ ವೇಗಿಚ .|ಸಾಮಾಜಿಕ ಜಾಲತಾಣಗಳು ಬಹಳ ಜನಪ್ರಿಯವಾಗಿವೆ .|ಸೋಸಿಯಲ್ ನೆಟ್ ವರ್ಷವಿಂಗ್ ಬೈಟ್ ಸೈಟ್ ಬಹಳ ಜನಪ್ರಿಯವಾಗಿದೆ .
ಏಕ್ ವಾರೆಮಾಯಿ ಫ್ಲೀಟ್ ಓರ್ ಗಮ್ಯ ಜಾಗೇನ್ ಜಾತಾಣಿ ಪುಚಚ್ .|ಒಂದು ವಾರದಲ್ಲಿ ಫ್ಲೀಟ್ ತನ್ನ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪುತ್ತದೆ .|ಒಂದು ವಾರದೊಳಗೆ ಫ್ಲೀಟ್ ತನ್ನ ಗಮ್ಯಸ್ಥಾನವನ್ನು ತಲುಪಿದನು .
ಛೋರಾನೋ ವಾಯಾ ಕರೆರ್ ವಯಸ್ ಅಠಾರಹ್ ತಿ ಪಚ್ಚಿಸ್ ವರ್ಸ್ ಚ .|ಮದುವೆಯ ವಯಸ್ಸು ಪುರುಷರಿಗೆ ಹದಿನೆಂಟರಿಂದ ಇಪ್ಪತ್ತೈದು ನಡುವೆ ಇರಬಹುದು .|ಹುಡುಗರು ಮದುವೆಯಾದ ವಯಸ್ಸು ಹೆಣ್ಣುಮಕ್ಕಳಿಗೆ ಹದಿನೆಂಟು ವರ್ಷ .
ವು ನಿರಾಸ್ ವೇತ್ತಿ ಕಾ ಕತೋ ವೋರ ಕುಣಸಿಬಿ ರಿಸ್ತೇದಾರ ಅನ ದೋಸ್ತಣೆ .|ಅವಳ ಸಂಬಂಧಿಕರು ಮತ್ತು ಸ್ನೇಹಿತರಲ್ಲ ಏಕೆಂದರೆ ಅವರು ನಿರಾಶೆಗೊಂಡರು .|ಅವರು ನಿರಾಶೆಗೊಂಡರೆ ಅವಳ ಯಾವುದೇ ಸಂಬಂಧಿಕರು ಮತ್ತು ಸ್ನೇಹಿತರನ್ನು ಪಡೆದಿದ್ದರು .
ವೋರ ಚಮತ್ಕಾರಿ ಶಕ್ತಿನೋ ಮಾಲಮ್ ಕರೆರ ವಾಸ ಘಣ ಮಾಣಸ್ ಮಜಾಕ್ ಕರೆ ಲಗೇ .|ಅವನ ಅದ್ಭುತ ಶಕ್ತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಅನೇಕ ಜನರು ತಮಾಷೆಗಳನ್ನು ಆಡಲು ಪ್ರಾರಂಭಿಸಿದರು .|ಅವನಿಗೆ ಅದ್ಭುತ ಶಕ್ತಿಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಹಲವರು ತಮಾಷೆ ಮಾಡಿದರು .
ವು ವುತ್ರಾ ಸಮಯ ಮ ವುನೆರ್ ನಿರ್ಣಯ ಏಕ್ ಮಾಣಸೇನ ಕೇನ್ ಮೇಲಾಚಾ ಕೇನ್ ಭರೋಸಾ ದಿನೋ .|ಆ ಅವಧಿಯೊಳಗೆ ತಮ್ಮ ನಿರ್ಧಾರವನ್ನು ಸಂದೇಶವಾಹಕರ ಮೂಲಕ ತಿಳಿಸುವುದಾಗಿ ಭರವಸೆ ನೀಡಿದರು .|ಅವನು ಇಷ್ಟು ಸಮಯದಲ್ಲಿ, ತಮ್ಮ ನಿರ್ಣಯವನ್ನು ತರಲು ಭರವಸೆ ನೀಡಿದರು .
ಗನ್ ವಿಚಾರ್ ಕರೆರ ಲಾರ್ಥಿ ಲಡಾಯಿ ಅನ್ ಬಳೇರ ಸೆ ಕಮ್ ವೇತಿ ಜಾರಿಚ್ .|ಅವರು ಕಾನೂನು ತೀರ್ಮಾನವನ್ನು ನೀಡುವಲ್ಲಿ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಾರೆ .|ಗಣನೆ ಮಾಡುವುದು, ಲಾಘನೆ ಮತ್ತು ಬಳಸಲು ಎಲ್ಲಾ ಸ್ಥಳಗಳು ಕಡಿಮೆಯಾಗುತ್ತಿವೆ .
ಸುಂದರ ನಾನಕ್ಯ ಫಿರ್ ಜಾಡ್ ಸಂತೋಸೇಮ್ ಎತ್ತಿ .|ಸುಂದರವಾದ ಚಿಕ್ಕ ಫರ್ ಮರವು ಸಂತೋಷವಾಯಿತು .|ಸೌಂದರ್ಯದ ಉಗುರುಯ ಫಿಡ್ ಕೂಡ ಸಂತೋಷವನ್ನು ಹೊಂದಿದ್ದರು .
ವೋರ ಗೋಣ್ಣಿರ ಅನೈತಿಕ ಸಂಬಂಧ ಛ ಕೇನ ವೊನ ಶಂಕಾ ವೇತ್ತಿ .|ಪತ್ನಿಗೆ ಅಕ್ರಮ ಸಂಬಂಧವಿದೆ ಎಂದು ಶಂಕಿಸಿದ್ದರು .|ಅವನ ಮತ್ತು ಹೆಂಡತಿಯ ಅನೈತಿಕ ಸಂಬಂಧವಿದೆ ಎಂದು ಅವನಿಗೆ ಶಂಕವಿದೆ .
ಜಿಲ್ಲಾನುಮ ಏರೋ ಜೆ ಏ ಅಂತರೇನ ಸಮಜೆರೋ ಘಣ್ ಮುಷ್ಕಿಲ್ ಚ .|ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಕಂಡುಬರುವ ಈ ವ್ಯತ್ಯಾಸವನ್ನು ವಿವರಿಸುವುದು ತುಂಬಾ ಕಷ್ಟ .|ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಒಂದೇ ಈ ಅಂತರವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು ತುಂಬಾ ಕಷ್ಟ .
ಈ ಗಾಯ್ಕನೋ ಮೊಘಲ್ ರಾಜಾರ ಆಸ್ಥಾನೇಮ ಪ್ರಾರ್ಥನೆ ಕಿದೆ .|ಈ ಗಾಯಕರು ಮೊಘಲ್ ರಾಜರ ಆಸ್ಥಾನದಲ್ಲಿ ಪ್ರಾರ್ಥನೆ ಸಲ್ಲಿಸಿದರು .|ಈ ಗಾಯಕರು ಮೊಘಲ್ ರಾಜಾಲ್ ಆಸ್ಥಾನವನ್ನು ಪ್ರಾರ್ಥಿಸಿದರು .
ಆರೋಗ್ಯ ಉಪಕರಣ ಅನ ದವಾರ ಉತ್ಪನ್ನೆರ ಖರೀದಿರ ಆಯೋಜನೆ ಕರಚ .|ಆರೋಗ್ಯ ಉಪಕರಣಗಳು ಮತ್ತು ಔಷಧೀಯ ಉತ್ಪನ್ನಗಳ ಖರೀದಿಯನ್ನು ನಡೆಸಲಾಗುತ್ತದೆ .|ಉಪಕರಣಗಳು ಮತ್ತು ಔಷಧಿಗಳ ಉತ್ಪನ್ನಗಳನ್ನು ಖರೀದಿಸುವ ಮೂಲಕ ಆಯೋಜಿಸಲಾಗುತ್ತದೆ .
ವಾಯಾ ವೆಜಾವ ಜೇರ ಪಚ ಯೆತಡು ಅನ ನವಲೇರಿರ ಪರ ಹಳದ ಛಣಕಚ .|ಮದುವೆಯ ನಂತರ ವಧು ಮತ್ತು ವರನಿಗೆ ಅರಿಶಿನ ಪುಡಿಯನ್ನು ಸಿಂಪಡಿಸಲಾಗುತ್ತದೆ .|ವಿವಾಹದ ನಂತರ ವರನು ಮತ್ತು ವಧುವಿನ ಕಂಬದ ಮೇಲೆ ಅರಿಶಿನವನ್ನು ಕೊಳೆಯುತ್ತಾನೆ .
ವು ಜೀವ್ ಏಕ್ ಮಾಣಸೇರ್ ಪುನರ್ಜನ್ಮ ಅನ ಸ್ಥಳಾಂತರೇರ್ ಕಾರಣ್ ಚ .|ಅದೇ ಜೀವ್ ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಪುನರ್ಜನ್ಮ ಅಥವಾ ಸ್ಥಳಾಂತರಕ್ಕೆ ಕಾರಣವಾಗಿದೆ .|ಅವರು ಜೀವನೋವ ಪುರ್ಜನ್ಮ ಮತ್ತು ಸ್ಥಳೀಯ ಸ್ಥಳಗಳ ಕಾರಣವಾಗಿದೆ .
ಲಕಡಿರ ಏಕ್ ಹೆಡ್ಲೋಡ್ ಗೋಳಾಕರೇನ ಬರೆ ಏಕ್ ನಿತರ್ ದೀ ತಾಸ್ ಲಾಗಚ .|ಒಂದು ತಲೆ ಹೊರೆ ಇಂಧನವನ್ನು ಸಂಗ್ರಹಿಸಲು ಇದು ಕೇವಲ ಒಂದು ಅಥವಾ ಎರಡು ಗಂಟೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ .|ಮರದ ದೇಹವನ್ನು ಸಂಗ್ರಹಿಸಲು ಕೇವಲ ಒಂದು ಅಥವಾ ಎರಡು ಗಂಟೆಗಳ ಕಾಲ ಅನ್ನವಿದೆ .
ಲಾರ್ತಿರ ದಾಡೆಮ ವೊನ ಪೂರಾ ತಾಲುಕೇರ ಉಸ್ತುವಾರಿ ದಿನೆ .|ನಂತರದ ದಿನಗಳಲ್ಲಿ ಅವರನ್ನು ಇಡೀ ತಾಲೂಕಿಗೆ ಉಸ್ತುವಾರಿ ವಹಿಸಲಾಯಿತು .|ಬಳಿಕ ದಿನದಲ್ಲಿ, ಅವಳು ಸಂಪೂರ್ಣವಾಗಿ ತಾಳಿಕೆಯ ಕ್ರಮಗಳನ್ನು ನೀಡಲಾಯಿತು .
ಆರೋಗ್ಯ ಸಂಸ್ಥೆನ ಜಾಯೆನಿ ಜೋಣ ಭೀ ವುನೆರ್ ಮಾಂದ ಆರೋಗ್ಯ ಸ್ಥಿತಿರ ಕಾರಣ ಚ .|ಆರೋಗ್ಯ ಸಂಸ್ಥೆಗಳಿಗೆ ಪ್ರವೇಶಿಸಲಾಗದಿರುವುದು ಅವರ ಕಳಪೆ ಆರೋಗ್ಯ ಸ್ಥಿತಿಗೆ ಕೊಡುಗೆ ನೀಡುವ ಸಮಸ್ಯೆಯಾಗಿದೆ .|ಆರೋಗ್ಯ ಸಂಸ್ಥೆಗೆ ಹೋಗುವವರೂ ಅವರ ಕಳಪೆ ಆರೋಗ್ಯ ಸ್ಥಿತಿಗೆ ಕೊಡುಗೆ ನೀಡುವ ಸಮಸ್ಯೆಯಾಗಿದೆ .
ಈ ಗ್ರಾಮೀಣ ವಾತಾವರಣೆಮ ನ್ಯಾಯ ದರಾಯೆರ ವ್ಯವಸ್ಥೆ ಚ .|ಇದು ಗ್ರಾಮೀಣ ವಾತಾವರಣದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ನ್ಯಾಯವನ್ನು ಪೂರೈಸುವ ಪ್ರಾಚೀನ ವ್ಯವಸ್ಥೆಯಾಗಿದೆ .|ಇದು ಗ್ರಾಮೀಣ ವಾತಾವರಣದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ನ್ಯಾಯವನ್ನು ಒಳಗೊಂಡಿದೆ .
ರೊವುಕರ ಜೇನ ದೇಕೆರೊ ಏಕ ದಯನೀಯ ದೃಶ್ಯ ರಚ .|ಅಳುವವರ ಹಣೆಬರಹವನ್ನು ನೋಡುವುದೇ ದಯನೀಯ ದೃಶ್ಯ .|ಅಳುವವರನ್ನು ನೋಡಿಕೊಳ್ಳುವುದು ಒಂದು ದೃಶ್ಯ ದೃಶ್ಯವಾಗಿದೆ .
ರೇವತಿಬಾಯಿರ ಜಾದೂರ ಜಾಲೇತಿ ಡೋಲಾ ಕು ನಿಕಳಿ ?|ರೇವತಿಬಾಯಿಯ ಮಾಟದ ಬಲೆಯಿಂದ ಡೋಲಾ ಹೇಗೆ ತಪ್ಪಿಸಿಕೊಂಡಳು ?|ರೇವತಿಬಾಯಿಯ ಮಾಯಾ ಡೋಲಾ ಹೇಗೆ ನಿಕನ್ಯೆಯರು ?
ಶರೀರೇನ ಜಾಡ ಚಾದರೇತಿ ಬುರನ್ ಬಿ ಸಳಕಮ್ ಕಮ್ ವಚ .|ದೇಹವನ್ನು ದಪ್ಪ ಹೊದಿಕೆಯಿಂದ ಮುಚ್ಚುವ ಮೂಲಕ ಶೀತವನ್ನು ಸಹ ಗುಣಪಡಿಸಬಹುದು .|ದೇಹವನ್ನು ಉಜ್ಜಿದವರಿಂದ ಮುಚ್ಚಿದಾಗ ಶೀತದಿಂದ ಗುಣವಾಗುತ್ತದೆ .
ಆರೋಗ್ಯ ವುನೆರ್ ಶಕ್ತಿ ಅನ ಉತ್ಪಾದಕ ಕಾಮ ಕರೆರ ಕ್ಷಮತೆರ ಮಾಪ್ ಚ .|ಆರೋಗ್ಯವು ಅವರ ಶಕ್ತಿ ಮತ್ತು ಉತ್ಪಾದಕ ಕೆಲಸವನ್ನು ಉತ್ಪಾದಿಸುವ ಸಾಮರ್ಥ್ಯದ ಅಳತೆಯಾಗಿದೆ .|ಆರೋಗ್ಯವು ತಮ್ಮ ಶಕ್ತಿಯನ್ನು ಮತ್ತು ಉತ್ಪಾದನಾ ಚಟುವಟಿಕೆಗಳಿಗೆ ಜೋಡವಾಗಿದೆ .
ದಸೆಕ್ ಡಾವ್ ಮಾಣಸ ಲಾರ್ ವೂನುಮ ಘಣ ಅಪರಾಧ ವೇಮಲೇಚ ಕೇನ ಸ್ವೀಕಾರ್ ಕರಚ .|ಆದಾಗ್ಯೂ, ಕೆಲವು ವೃದ್ಧರು ತಮ್ಮಲ್ಲಿ ಹಿಂದೆ ಸಾಕಷ್ಟು ಅಪರಾಧಗಳು ನಡೆದಿವೆ ಎಂದು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತಾರೆ .|ಕೆಲವು ಹಿರಿಯರು ಅವರನ್ನು ಬಹಳ ಅಪರಾಧ ಎಂದು ಸ್ವೀಕರಿಸುತ್ತಾರೆ .
ತೋಳ್ ಪಿತಳೆತಿ ಕರಮಲ ಜೆ ಚೂಡಿತಿ ಢಾಕ್ ಮಲಚ .|ತೋಳುಗಳನ್ನು ಇತರ ಅಸಭ್ಯ ವಸ್ತುಗಳಿಂದ ಮಾಡಿದ ಉಂಗುರಗಳಿಂದ ಹೇರಳವಾಗಿ ಮುಚ್ಚಲಾಗುತ್ತದೆ .|ತೋಳುಗಳನ್ನು ಹಿತ್ತಾಳೆಯಿಂದ ಮಾಡಿದ ಉಂಗುರಗಳಿಂದ ಮುಚ್ಚಲಾಗುತ್ತದೆ .
ಭಾರತೇರ ಸಂಸ್ಕೃತಿ ಅನ ಸಂಪ್ರದಾಯರ ಪ್ರತೀಕ ಹೋಳಿನ ಪೂರಾ ಭಾರತೇಮ ಕರಚ .|ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಮತ್ತು ಸಂಪ್ರದಾಯದ ಸಂಕೇತವಾದ ಹೋಳಿಯನ್ನು ಭಾರತದಾದ್ಯಂತ ಆಚರಿಸಲಾಗುತ್ತದೆ .|ಭಾರತೀಯ ಸಂಸ್ಕೃತಿ ಮತ್ತು ಸಂಪ್ರದಾಯದ ಪ್ರದಾತ ಹೋಳಿಯನ್ನು ಭಾರತೀಯವಾಗಿ ನಡೆಸಲಾಗುತ್ತದೆ .
